Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Deposit,2022-01-02 23:02:42,,,,,,,,,,1000.00,"EUR",,,1000.00,"EUR","Transaction ID: 1859411645462144",e3952e08-3a67-4283-add2-04672f6ba308,,
Deposit,2022-01-02 23:25:03,,,,,,,,,,700.00,"EUR",,,700.00,"EUR","Transaction ID: 6129411659032943",ec10f5e8-44ce-46b6-962f-92ac57174a3b,,
Market buy,2022-01-03 14:30:29,US5949181045,MSFT,"Microsoft",1.3471614000,335.77,USD,1.13254,,"EUR",400.00,"EUR",,,,,,EOF1731067165,0.60,"EUR"
Market buy,2022-01-03 14:30:29,US0378331005,AAPL,"Apple",2.5430730000,177.87,USD,1.13254,,"EUR",400.00,"EUR",,,,,,EOF1731066915,0.60,"EUR"
Deposit,2022-01-03 23:46:48,,,,,,,,,,100.00,"EUR",,,100.00,"EUR","Transaction ID: 4826412536077938",636f155c-af01-4ce2-997c-ac37953a201b,,
Market buy,2022-01-04 08:01:00,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",0.6890369000,490.74,USD,1.12882,,"EUR",300.00,"EUR",,,,,,EOF1733055290,0.45,"EUR"
Market buy,2022-01-04 08:01:01,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",0.5215765000,490.76,USD,1.12882,,"EUR",227.10,"EUR",,,,,,EOF1733055383,0.34,"EUR"
Market buy,2022-01-04 08:01:17,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",0.8566856000,490.62,USD,1.12882,,"EUR",372.90,"EUR",,,,,,EOF1733056217,0.56,"EUR"
Market buy,2022-01-04 14:30:12,US02079K3059,GOOGL,"Alphabet (Class A)",0.0193600700,2909.57,USD,1.12816,,"EUR",50.00,"EUR",,,,,,EOF1733099239,0.07,"EUR"
Market buy,2022-01-04 14:30:29,US30303M1027,META,"Meta Platforms",0.1657969000,339.75,USD,1.12816,,"EUR",50.00,"EUR",,,,,,EOF1734153217,0.07,"EUR"
Deposit,2022-01-05 14:30:29,,,,,,,,,,6.28,"EUR",,,6.28,"EUR","Free Shares Promotion",b270d003-c664-4108-a832-93e02b20fb52,,
Market buy,2022-01-05 14:30:29,US88688T1007,TLRY,"Tilray Brands",1.0000000000,7.10,USD,1.13349,,"EUR",6.27,"EUR",,,,,,EOF1736170642,0.01,"EUR"
Deposit,2022-01-05 14:30:30,,,,,,,,,,6.28,"EUR",,,6.28,"EUR","Free Shares Promotion",7e33c42e-eb1e-42a3-babd-7fb4e36ecf1f,,
Market buy,2022-01-05 14:30:30,US88688T1007,TLRY,"Tilray Brands",1.0000000000,7.10,USD,1.13353,,"EUR",6.27,"EUR",,,,,,EOF1736170735,0.01,"EUR"
Market sell,2022-01-05 15:26:37,US88688T1007,TLRY,"Tilray Brands",2.0000000000,7.04,USD,1.13406,-0.10,"EUR",12.40,"EUR",,,,,,EOF1736194096,0.02,"EUR"
Market buy,2022-01-05 15:27:40,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",0.0287077000,489.70,USD,1.13372,,"EUR",12.42,"EUR",,,,,,EOF1736194621,0.02,"EUR"
Dividend (Ordinary),2022-02-11 11:36:58,US0378331005,AAPL,"Apple",2.5430730000,0.19,USD,Not available,,,0.42,"EUR",0.08,USD,,,,,,
Dividend (Ordinary),2022-03-11 18:51:13,US5949181045,MSFT,"Microsoft",1.3471614000,0.53,USD,Not available,,,0.65,"EUR",0.13,USD,,,,,,
Dividend (Ordinary),2022-05-13 10:40:54,US0378331005,AAPL,"Apple",2.5430730000,0.20,USD,Not available,,,0.48,"EUR",0.09,USD,,,,,,
Dividend (Ordinary),2022-06-10 07:40:34,US5949181045,MSFT,"Microsoft",1.3471614000,0.53,USD,Not available,,,0.67,"EUR",0.13,USD,,,,,,
Dividend (Ordinary),2022-08-12 07:58:08,US0378331005,AAPL,"Apple",2.5430730000,0.20,USD,Not available,,,0.48,"EUR",0.09,USD,,,,,,
Deposit,2022-09-08 11:05:19,,,,,,,,,,11.02,"EUR",,,11.02,"EUR","Free Shares Promotion",3e9e50df-f073-4085-9f42-d8b74a683c87,,
Market buy,2022-09-08 11:05:19,DE0008232125,LHA,"Deutsche Lufthansa",1.7779200000,6.19,EUR,1.00000,,"EUR",11.01,"EUR",,,,,,EOF2044523776,,
Dividend (Ordinary),2022-09-09 07:43:16,US5949181045,MSFT,"Microsoft",1.3471614000,0.53,USD,Not available,,,0.70,"EUR",0.13,USD,,,,,,
Market sell,2022-09-22 13:22:06,DE0008232125,LHA,"Deutsche Lufthansa",1.7779200000,5.88,EUR,1.00000,-0.56,"EUR",10.45,"EUR",,,,,,EOF2060381208,,
Market buy,2022-09-22 13:30:04,US0378331005,AAPL,"Apple",0.0892023000,152.32,USD,0.98602,,"EUR",13.80,"EUR",,,,,,EOF2060382861,0.02,"EUR"
Dividend (Ordinary),2022-11-11 13:56:40,US0378331005,AAPL,"Apple",2.6322753000,0.20,USD,Not available,,,0.50,"EUR",0.09,USD,,,,,,
Dividend (Ordinary),2022-12-09 13:34:14,US5949181045,MSFT,"Microsoft",1.3471614000,0.58,USD,Not available,,,0.74,"EUR",0.14,USD,,,,,,